"SES","Education","Health"
40.9792550324513,27.1434362144911,73.3314973074968
47.9627579513017,28.3513310330376,71.9679837804479
35.1909082261923,18.9021560876884,68.3414452560992
62.478875219274,28.9714352561425,77.6195156788952
38.0741072537678,21.3542179101017,72.4630350961875
55.1069691802374,33.1403023575448,73.6923520981253
63.0564473052037,34.7659691603562,77.8576327367441
32.2675849213043,20.7047516982931,72.0705360529503
65.3434096360244,33.791447683465,79.7353179281454
18.37348135635,19.0040936469781,71.1416899517852
53.4464395654899,26.5460528729058,63.9055374970271
72.6756618733064,41.3147940485939,79.8934521416714
58.3315698372602,34.6805159686168,75.3567057425381
63.7231820187406,32.8790852461653,72.0985868450573
41.6990506358073,26.3863764602491,66.6601874423417
54.4756413426503,34.4695571782089,76.2402637139344
66.5956930947821,40.6910225237116,74.8717967841943
30.0627562275137,26.492013673931,66.2143565712729
65.0254119332903,37.1233664118579,78.7923935334814
28.8604418936389,20.9007570269178,72.9311365261679
42.518284629781,28.3737976217298,80.9636587489162
89.3413527873268,44.9622077841625,86.1846699122586
57.6599834904279,30.0552221398588,84.4249856001408
48.637352086712,31.9873712830786,78.5174425653168
64.6814851881632,37.9565704029552,77.8379725262923
46.3428701466753,32.320159301612,72.8560809171215
59.3271343882045,38.7305316232948,84.4863549576907
44.8310717023052,32.3480024951901,66.1431185885163
14.6716318123776,18.2365998402043,63.9901301550604
57.0858145003046,32.7249629865718,75.2333230818654
42.3277970781963,26.657269001351,58.8818269565254
41.3959670036583,25.3197979843376,68.5901622457534
50.056958055929,27.6795996274114,74.2471942073942
70.1382639429172,36.8850272209312,63.3898606921971
54.4319226733912,33.6142819353842,75.4473441862704
62.6268041540815,36.2047527226323,74.2292807079282
59.4359644733071,30.1574158398677,77.0726574205915
51.523975991946,34.2031440568205,76.4693496482158
60.0668131199152,37.9001490479366,82.1361787116093
47.9252543815742,33.6193165601913,63.5543578147069
31.2603162027139,18.8333407736508,68.0237256318389
55.2145286632304,30.8462875621791,70.638913014056
15.8327951124259,15.1043754463335,64.1086950102658
35.2068622820955,22.7292507580516,68.1559976901969
49.1068798467169,27.9486550835023,66.3972235330159
47.5886076428881,27.3554120536652,62.8630550097271
43.6945771948956,24.5661566769816,81.5252129212278
64.8288652449292,34.2430754594514,69.5851878944264
33.9557931333706,22.5862079234536,69.8640562496735
10.7953479947734,14.8990895271572,57.1545210823623
61.7067784649323,36.4996399547896,82.9653971409238
50.676576103311,33.1442512395994,63.8326501275055
48.3726626165365,26.9466097296614,67.6502042848909
44.1316353489355,27.7803001063899,64.937651904154
24.6950074350711,26.8851055600687,66.4251586901527
35.7094331727248,22.898170901624,66.473293535498
57.6112116815509,35.2657743907423,86.3281027127193
50.2822414851008,28.0178626119935,72.5486197364213
28.7163443962156,24.6826444628531,73.8375378763603
58.9725789702835,35.2255820521297,78.8471880882042
61.7956943261484,31.9636497697298,78.8773187341632
47.9805043114664,32.2677757556148,74.5745308172468
49.7542022357702,33.2788961030265,73.8075597948947
71.1371061235264,41.1032436044058,74.2175969847109
55.922580482034,24.0647963602615,72.2654243950555
68.298126921087,37.7507305050036,79.4194293931664
49.3238418069054,34.2891860982176,59.9517978715579
72.1923176725817,38.3629788349695,68.7708729757805
48.8647431996141,27.5714622818918,70.1136462104366
63.7662268579933,35.0436069369382,66.6113688784274
44.8283192938638,20.7822097685354,71.774603327162
