"Talent","HardWork","Success"
3.62867667100633,5.58086669631813,1
3.41457106283418,2.39241153458042,0
4.18599169547625,4.77179880134465,1
2.70265877708204,4.8140758299525,0
7.23152093109344,4.75487874710525,1
3.24108644365999,3.23337845736308,0
7.55864587506323,6.20033893880261,1
2.09144549030568,6.43426873126591,0
6.68445753838704,4.21825043505134,1
3.79356998437454,5.85578503417239,1
5.26311005468508,3.3257895314074,0
6.52888911335917,5.04511973506699,1
3.16572966681615,6.52012169497141,1
5.47478903028594,5.49142666417622,1
4.91062186677588,5.28278269370336,1
2.76289939287503,7.6811546513496,1
6.15341004564801,3.50178872516792,0
0.39651557991231,6.55316907513896,0
8.08802276837897,5.45636321365942,1
7.39264247793891,3.52719902124091,1
4.59664624027082,4.85914503772803,0
4.13545684029474,4.24774682050575,0
5.6938972877806,6.32644613716394,1
4.0292441324415,5.82139176788012,1
4.60938783953049,1.33630197296458,0
5.45959482343168,8.29684764272541,1
4.8106924839263,0.734164131107407,0
8.42039908097033,6.37401233361673,1
4.32850199815764,3.50247670666962,0
3.24935035132931,7.13822551865068,1
2.73489101657304,5.79365865976945,1
3.86795873453662,7.77070651842594,1
3.05123119374255,4.64383976312621,0
6.89016468169253,0.140238654977701,0
5.49548221060004,4.53597608588179,1
4.79065075913509,5.21187432385055,1
5.05552335980743,7.43513956796753,1
3.18544703531891,2.65647280112458,0
9.70186750405159,4.46704835220988,1
6.61753944896209,4.09062888884526,1
6.5682808376934,8.00986433629476,1
5.34047298159066,1.75492331974396,0
5.31839530306154,7.11810995615209,1
6.35603620082674,7.31396007085848,1
5.8687439991693,4.7720822820014,1
6.56110886046153,6.71038194021383,1
4.1108644830913,6.02227818437945,1
7.54303282369101,3.57116202965434,1
2.05321554500247,3.61005681033057,0
8.65202094628698,0.954960455605068,1
4.83567891156356,8.16292064338793,1
5.41413231434145,7.59366639157005,1
4.88368200851487,7.54070907474569,1
3.31389598109159,4.96784426429236,0
4.06702544092197,3.8364740932036,0
8.03289805818999,1.69284906770704,1
9.14792278925911,3.85118245555335,1
2.88650647014572,3.18475582417581,0
5.71049758978671,2.26892086718951,1
3.9247466473695,5.61659985365919,1
5.18063273171672,4.05474499515507,1
5.69707656920517,5.89244447133538,1
3.96496200980031,3.44968445829698,0
5.57460260483053,9.12137523503627,1
8.33614999369167,10.1707927470444,1
2.83812655082706,7.99961280618059,1
4.20429779075525,4.79961478442273,1
5.59441763288681,6.29437162932707,1
5.74685811853288,2.19082047036765,1
5.13516896308604,2.33176470446278,1
5.69326806098939,4.10654130989464,1
4.67085725439883,8.38123972123542,1
5.37996561317154,4.5532697086074,1
4.86260272972213,6.84687702160782,1
6.83290041538853,4.90094861231309,1
6.42109922952424,4.3062182314316,1
4.96182062774839,5.39850383922516,1
7.62625374615621,4.73534442989624,1
5.34077231160901,7.90846344539787,1
6.15763321106758,2.35872165329947,0
5.45580974999533,5.21841432695509,1
3.77508026880537,4.949055564158,1
6.46806026606125,4.7296848181393,1
1.2989962749377,3.71894937173754,0
3.06291032045887,6.43496511148308,1
6.25525293810058,2.04618037395855,1
7.48055525876289,6.50820959632638,1
1.9861938857394,0.620381650251936,0
7.36519378742578,8.1061996954241,1
2.33162288127433,6.4041239979502,1
3.80735941196857,5.10304762507048,1
2.34101566992724,0.144052580082352,0
4.63577316276557,4.82785853509296,1
5.09827708927466,3.52328510848216,0
5.82415286322682,7.33544805270519,1
4.1552929072298,1.73470076749418,0
4.96069268053107,1.77374168851806,0
5.60603285066768,4.55068129642371,1
3.05515531308983,4.88966369930812,1
3.59768989276682,3.74526808615163,0
7.75686380121418,4.63130123917446,1
-0.906274627167518,4.4739106781648,0
6.91167312603882,3.94870751749666,1
7.12006846984105,3.64954500452376,1
7.70192113199712,4.68642279066857,1
4.19688851764268,6.93848548337868,1
6.67997396037465,8.72653226300457,1
5.43087851545687,7.03771497767749,1
3.72404559608351,5.09138364325299,1
6.10569596410138,2.59641665504449,0
5.7407016499815,6.81870831046189,1
4.22195246493569,7.92391644100032,1
4.07981430273751,4.63074649209659,1
4.46822761322546,4.61966346323503,1
6.00288272664314,7.48658960532575,1
4.89529434602077,5.3711749963663,1
2.29565731306146,9.54204455857452,1
5.61715706021142,4.89689016022162,1
4.2660071923727,1.76890234160831,0
6.52163051305657,7.11591167989445,1
2.58244341704438,5.72378951236392,1
1.18288653595244,4.46824658849897,0
4.00450122795026,2.48843719652927,0
3.72591097873931,6.75296833434456,1
6.35246386406098,6.18526933378097,1
1.26117793948401,5.54305136175157,0
2.86289502748829,8.10654694235295,1
4.74798916813129,2.87238624731891,1
3.52743116314267,5.41364499469349,0
4.61751638163102,4.50213348868887,1
2.6033994732306,6.03077734783753,1
3.35149076298785,5.8855716401208,1
3.16093465765086,4.76576676275201,0
1.5122633125562,2.00431705451606,0
5.76607484852354,5.09440121193904,1
3.91786115347531,7.9605157352188,1
3.88811780433031,1.07089007501369,0
7.21791706255503,3.92288874656786,1
6.33548718967353,6.00557318570392,1
3.61264192727603,2.81337445109213,0
6.75998560942396,2.94794777913613,1
4.24205328562296,2.97592771266801,0
4.13750273479258,3.43473164608451,0
5.33288939936403,5.71912562411449,1
5.28103920933358,8.99724043783072,1
4.78490745468989,6.1078696008507,1
4.49602478137696,3.38339330213897,1
5.80004076889472,3.8859630443733,1
6.98834046058427,2.82879293842513,1
4.21225282008981,3.56041196468534,1
7.90352455076052,3.61486631346514,1
3.33000574085271,7.82700940909821,1
9.00291430669921,6.28192437824639,1
6.64058604803795,1.56495858736699,0
4.27694928364251,6.65237718960468,1
0.748696360199941,7.56155061693158,1
4.20390110623748,4.53731159085875,0
4.30480415361866,7.71765496233374,1
7.88990461766667,5.68247810904429,1
5.7524721477976,6.28447236248833,1
1.35776893585105,4.35757856427509,0
5.54537454223096,7.88039132270068,1
3.11438453100349,5.10746824240622,0
1.59821379553722,4.46057287384211,0
6.8380735264586,5.93351253755505,1
6.20341143150068,4.77857725574096,1
4.19995455155532,4.48786915754184,1
7.87494336105748,6.45218438148112,1
4.37558925947308,4.59803595546413,1
1.62923121056916,4.15465607757701,1
6.82190418214499,3.91566048864292,1
3.64999834284691,2.21964418911776,0
5.27462313329592,8.21427082113114,1
3.15351640502758,3.6943236181551,0
2.39108050252064,4.23926298141133,0
5.88286525054907,5.17348607309926,1
3.20262593874697,3.70188407137487,0
3.91685580049806,0.967018584253866,0
6.44816380612352,5.89715477749329,1
-0.124757653558362,6.04677631838433,0
3.12556465094964,4.50775552066864,0
8.05912129647279,3.91090858563297,1
4.9892277238214,3.39263397051445,0
1.63363261927968,8.90894210094763,1
4.90116243995014,4.40622511420931,1
5.09098621789554,4.92919062557996,1
3.44825943439607,5.21437942893711,1
3.62932378751619,4.53875893690993,1
4.92195033129204,9.78014008119131,1
6.67948574068497,4.9767353125346,1
3.31718396591249,2.82188118668283,0
6.43245655232284,5.62753836634215,1
1.26506869408458,7.19144280672402,0
8.98171343941557,2.96221079669615,1
6.54217299172002,8.34175028207612,1
3.75480378397513,5.55036694143682,1
4.7928108992818,4.63626720054519,1
2.53492335884039,6.73471086144414,1
3.13418427445352,2.19440618752812,0
5.59503702905294,7.96460282461134,1
0.87094807910227,3.81640786267528,0
6.3544984449821,3.22999649305123,1
6.67276611582874,3.94512688268101,1
5.24448775298084,5.06207481056035,1
3.42350072562082,3.10696903331285,0
6.26727403127782,0.00205940950632932,0
4.59341300363872,5.29142306200801,1
8.55155002517198,6.71740678687483,1
6.00670829935577,4.58012343423413,1
8.71989138739558,5.7976480418513,1
3.7810139088594,6.52225547239517,1
7.30611064497554,3.06918673635663,1
6.93869831451676,8.40850703942735,1
6.27460631414853,3.36837631669044,1
8.54433538501701,5.10100636945657,1
7.35662112924402,8.63666942345773,1
7.20140527232268,5.46747621348657,1
7.7538961517095,4.94242046165171,1
3.56546925310021,2.72928401111862,0
6.37702547515589,2.68524437814335,1
7.53620291356823,3.90531818772355,1
1.25582244311116,4.13285456815446,0
7.49616589625378,8.32497186766764,1
2.84539918111096,3.87373829712102,0
2.05166086668629,2.70889550990727,0
4.79447749431241,6.41858264977848,1
1.57026770539238,5.32046938576819,0
3.45119672557307,5.22670518762297,0
6.69510793577939,7.99042701216697,1
5.16647047331407,7.04647325212228,1
7.57016993716647,7.3489232410403,1
5.55208983590714,4.51099248613843,1
1.57771450915182,4.6661357379884,0
2.70089995691266,4.83176899170762,0
5.31957263928236,3.34700344335854,0
4.14557462616955,2.62100631027863,1
6.81400440781801,5.78670372196195,1
5.30179792566168,4.63843271369439,1
2.78094547302292,5.00437680258676,0
3.90238253772066,7.36553457544773,1
7.03757691000086,3.62234992254993,1
3.10917583934359,8.92721735537382,1
1.99936829384648,4.11617915414883,0
6.13032812611835,6.56201590012758,1
5.36547753584949,2.73126503580295,1
3.40654383618335,5.54608277893787,1
4.90762702990094,3.47258688322012,1
5.30725348966946,3.52478403202147,1
3.46675117126317,2.48684771814723,0
5.7295066646774,4.96586020879811,1
3.61296206068334,6.52112110174337,1
4.31368769588122,4.6563481695118,1
6.4856986758682,4.4694732114775,1
4.42892458407773,4.15200800625358,1
1.66023264864048,6.37854423656057,0
4.47121991708933,7.10090085812031,1
1.60009120744746,0.611950006932833,0
3.94633437267888,3.99406887340483,0
3.72596840631109,6.76063823507656,1
11.3490395685602,8.09670565888218,1
5.98241117974695,6.15601236785643,1
5.88403231746348,4.73833232943306,1
5.4003963664854,6.2157140538116,1
3.9416095761636,5.4350407747851,1
-0.354337709740896,6.05238244633273,0
8.62542386259421,5.92395907590255,1
3.96749922664318,8.00798241300178,1
3.27591637252932,5.70601920514044,1
3.74006205981181,4.20219519053053,0
7.1499249237338,7.04711919908049,1
6.49137970800458,3.39825817884693,1
7.64317160710377,4.4044396921954,1
5.55893828261466,0.19781063512343,0
4.76998750890363,5.38799645780144,1
4.49953082485429,6.26109749197168,1
1.88565140055755,1.55530451531103,0
5.51919093068518,10.0780928242693,1
4.32525124491951,3.13594469452678,0
4.23406965989812,2.41594438372159,0
7.10538452139906,4.34174906160213,1
7.42242694707759,5.59860438868947,1
9.90738974444366,4.11962482637543,1
5.92985467350851,5.99386832491042,1
4.81030038349401,3.21885829079682,0
3.18333705169565,6.46327966526226,1
4.93332679341302,5.25399292400959,1
8.44119449281209,8.77808467213488,1
4.52749675267823,5.75953538760911,1
8.41739728265114,4.91036777202564,1
4.55448640090882,5.27208795368491,1
5.42066036624576,6.10055307150514,1
9.96184076771777,3.38383920493183,1
5.05432968477486,2.98600793496221,1
2.09458965309291,6.71640453455325,0
3.65271438516611,5.16883268811747,1
2.8861673305393,2.03641647719836,0
5.179673698216,3.069746767601,0
3.85542099434698,5.20720029084192,0
5.7560788773133,7.3546473308308,1
8.24764302574748,5.3851329097903,1
3.04741287597648,4.98552182243061,1
2.9832510045086,4.07537897348149,0
4.48720097525847,3.55122492870506,0
6.76563347982405,3.7219661602475,1
5.75205424700736,5.88828504783653,1
5.20890177690727,3.83189152364347,1
8.14349885549913,5.37253069551098,1
4.46271800362371,4.39931457253855,1
8.69704377216556,5.31940082750837,1
1.97880705947553,7.03999017091943,1
5.56212245738808,6.59670375741517,1
6.80858693064008,4.91181945683744,1
7.27731485525598,3.01561313678985,1
2.09532371261535,6.15170504553772,1
3.74729335691577,5.27156247560105,1
1.13584884804619,2.97583607885656,0
4.52187681937679,7.00804632767162,1
3.99945699913308,6.75219177399705,1
6.97494346073822,3.61406376847821,1
5.83084245448491,10.3636189667736,1
4.40776736169544,-1.27798625793683,0
7.7244434784911,6.29191321100611,1
4.71140707656254,4.03877973228743,1
7.63145575108895,5.38561478737174,1
6.33322153289024,2.90148767799172,1
6.32272755198558,4.5082962614669,1
6.81344074516189,3.77254141797869,1
3.75880108141122,5.99538407779348,1
2.17684742634671,5.91368351552173,1
6.62048857378398,6.46074807968977,1
2.39800399351327,5.79903762637002,1
3.19277639642282,4.82772442576506,1
4.56251307070233,4.8072379012544,1
6.12917599436185,8.72746764467968,1
6.21851278354316,6.70256698215708,1
1.32795826242468,4.88142907632679,0
5.48829321933613,8.00133906033986,1
1.45727633235019,5.90204588307247,0
9.50122053890357,4.80087393499189,1
3.1139822924145,2.95794497073905,0
8.37377891239239,5.69321401056003,1
4.32237614713329,6.03459985235116,1
6.24142718304433,3.72003817968314,1
3.3945578262852,3.00359257804587,0
5.23318776637771,2.34136790042257,0
6.21613478417956,3.25283541292436,1
8.05588367091078,7.14209374941771,1
3.74584801216422,5.93625896434493,1
1.87146650804203,3.14535641382035,0
2.54883600235322,1.8363686566612,0
5.25193433022823,-0.567984218919483,0
5.51866164212921,3.12680955744818,0
4.44942698233494,5.9557500636675,1
5.09953443101927,2.60941711295418,1
4.37860455009852,5.61060332189823,1
4.15712910423946,8.46532326255559,1
9.49241559022574,0.67367386300806,1
5.17331474598498,4.76036100002017,1
7.44702775095108,3.048945160364,1
10.2364656398234,6.91556892635151,1
2.34923804549214,5.00989506900197,0
4.72448235565068,5.70840919209283,1
4.99466203098922,5.35241200808623,1
7.41181890036877,5.46136410107072,1
4.34310184860395,5.65879461194125,1
5.62857113461915,3.05521382842874,1
5.36293050740807,7.56338726410819,1
5.74956818407358,8.05828617186052,1
3.71494960463483,4.69824093930918,1
10.1509066372898,4.63686266071463,1
2.71861897555552,1.31812160938971,0
4.38050575398837,5.33038522979044,1
5.83248609438501,0.49315665483442,0
5.86306114140098,4.59324492440289,1
2.6617261879318,2.02197464034594,0
4.69965521725417,3.38815373681382,1
2.20175576390729,4.67351987616133,0
6.83467842736611,6.05167156918244,1
3.16074890865027,7.80481406681656,1
2.74761287672472,4.14750939397389,1
4.9883299222772,4.57480640986013,1
2.48773403683796,4.53836596180198,1
5.42558294805082,4.01569158368105,1
3.88876074106065,4.38520115980781,1
3.74337982191306,6.42679401062072,1
1.80999709319196,8.51319164729606,1
0.0470990109548746,8.13747258798354,0
7.2205908234937,4.77124787824938,1
8.52103518915205,6.17122449242827,1
7.51299949299789,3.83225852122145,1
4.83693220396071,1.98443421724032,0
5.2945431693271,6.03726344244118,1
5.70919511908475,5.73528813743625,1
4.32571779327794,8.19488009185447,1
5.98530790331296,4.65298844115264,1
6.65973358716774,1.57206406992579,1
6.89522307920642,5.56971303494443,1
7.33085766893205,1.96908067815307,1
4.15766726741914,2.76554314990488,0
5.66920551287398,4.07552749348211,1
4.78755469005365,4.09920251126551,1
2.42582702756371,2.24554433059117,0
3.1838802799001,7.09718302718476,1
4.432128502642,5.61111243353228,1
5.53318491679837,3.1625027670973,1
7.44863861791456,3.30955482589489,1
6.64305105365145,2.54534864963648,1
2.50446641547597,5.70305861738075,0
6.20255002771673,6.76165316461985,1
3.1824955677419,4.09206624082785,0
6.80068977549459,7.03609241800491,1
3.09225697210781,4.36157624024557,1
2.51821657117419,5.51627102131688,0
5.16310019160345,7.2327285327224,1
3.37384617710047,3.45578340086076,0
7.12956931760363,5.2251886125079,1
2.90196156300811,6.06312447874327,1
6.03201865033482,4.15419469876574,1
6.97149396883673,5.29724798401554,1
4.29668604403588,5.798572617526,0
5.9034984569435,7.37090411063488,1
3.81285564253814,6.8381906637644,1
2.72700946349577,4.21046059741141,0
0.330056437456376,6.21848181822054,0
